title,date,views,quantity
青春韶华 腾飞起航 | 中国华腾2022年度招聘正式启动,2021-12-30,136,30
推想-与AI同行 推想未来,2021-12-30,102,49
西南医科大学2022年诚聘海内外英才,2021-12-30,87,36
浙江新安化工集团股份有限公司2022届校园招聘,2021-12-30,85,30
中国天辰工程有限公司2022年校园招聘,2021-12-30,91,20
亚信科技招聘简章,2021-12-30,89,100
招商证券股份有限公司北京朝阳公园路证券营业部【招聘】,2021-12-30,86,5
揽英才 金陵科技学院招才引智，诚邀您的加盟,2021-12-30,195,50
麦捷科技2022年校园招聘简章,2021-12-30,176,20
启明信息技术股份有限公司2022年校园招聘简章,2021-12-29,1144,50
清华大学天津高端装备研究院人才引进,2021-12-29,837,2
你和我的距离只有一封简历的厚度,2021-12-29,894,12
中证信息技术服务有限责任公司 2021年度招聘公告,2021-12-29,802,12
中国科学技术大学先进技术研究院2021-2022年度招聘简章,2021-12-29,848,110
阳光电源2022届全球校园招聘秋招补录,2021-12-29,812,40
中国卫通集团股份有限公司招聘,2021-12-29,761,3
西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事,2021-12-29,766,40
中国热带农业科学院热带作物品种资源研究所2022年高层次及博士人才公开招聘公告,2021-12-29,718,26
中国供销集团2022年度应届高校毕业生招聘公告,2021-12-29,725,40
华夏久盈资产管理有限责任公司2022校园招聘,2021-12-29,715,10
中国搜索2022年校园招聘简章,2021-12-29,715,29
深圳市大数据研究院科研人员招聘简章,2021-12-29,854,20
九江学院2022年人才招聘公告,2021-12-29,794,150
恒上咨询代宽带资本旗下云天使基金投资经理,2021-12-28,1010,2
宁波工程学院2021年高层次人才（教师）招聘公告,2021-12-28,623,2
长三角腹地-常州工学院2021年人才招聘启事,2021-12-28,488,30
校园招聘,2021-12-28,435,2
中国海外工程有限责任公司2022届大学毕业生招聘公告,2021-12-28,424,30
正大集团2021-2022年度中央采购部校园招聘,2021-12-28,420,10
网络安全就业招聘,2021-12-28,408,5
福建工程学院2022年师资招聘计划,2021-12-28,389,100
湖北汽车工业学院 2021年面向社会专项公开招聘工作人员公告,2021-12-28,379,51
职能管理类,2021-12-28,401,8
集团财务室工作人员,2021-12-28,392,1
北京上元信安技术有限公司招聘,2021-12-28,386,2
江西服装学院2022年招聘启事,2021-12-28,374,123
山东电力设备有限公司2022届高校毕业生招聘,2021-12-28,359,8
2022年校招岗位-金融公司,2021-12-28,332,15
广州华立学院2022年博士招聘启事,2021-12-28,322,50
武汉市自然资源和规划信息中心2021-2022年应届毕业生和相关岗位社会人才招聘简章,2021-12-28,272,15
厦门理工学院2021年公开招聘人才启事,2021-12-28,254,150
浙江师范大学2021年专任教师招聘公告,2021-12-28,259,88
12月29日智联直播 | 500强企业远东控股集团（多专业）,2021-12-28,258,10
2022年北京城市学院招聘启事,2021-12-28,312,2
芯征程,2021-12-28,248,1
三环集团2022届秋季校园招聘火热进行中,2021-12-28,235,500
一汽解放汽车有限公司2022年秋季校园招聘启事,2021-12-28,246,500
未来已来 只等你来 ——海南自由贸易港招才引智活动致广大学子的邀请函,2021-12-27,372,1000
2022届校园招聘,2021-12-27,366,5
苏州恩巨网络有限公司,2021-12-27,323,2
集团办公室工作人员,2021-12-27,310,2
集团后勤部工作人员,2021-12-27,305,1
2022中公教育校园招聘,2021-12-27,304,10
数码视讯科技集团2022届校园招聘,2021-12-27,342,50
中国电子科技集团公司第五十研究所【2022届校招】,2021-12-25,892,5
中科院兰州化物所2022年人才招聘启事,2021-12-25,699,180
2022年中信证券股份有限公司北京分公司管培生校园招聘,2021-12-25,653,20
2021-2022零点有数校园招聘火热开启,2021-12-25,593,10
泰山学院2022年人才引进不限专业,2021-12-25,581,80
C&F School 阳光心霖儿童公社2022年校园招聘,2021-12-25,543,30
北京工业大学先进电池材料与器件研究所（尉海军教授课题组）2021-2022年人才招聘,2021-12-24,856,8
深圳雅学科技有限公司2021年招聘,2021-12-24,647,2
宇通集团2022届管培生招聘简章,2021-12-24,593,50
雅培中国2022校园招聘,2021-12-24,579,20
中国青旅集团有限公司2022年 校园招聘启事,2021-12-24,577,8
销售&技术管理培训生招聘,2021-12-24,601,10
进出口招贤纳士,2021-12-24,593,1
山东建筑大学第五届“海右青年学者论坛”诚邀海内外英才相聚云端,2021-12-24,578,3
唐山银行2022年校园招聘启事,2021-12-24,573,100
银联国际有限公司2022届校园招聘,2021-12-23,538,30
中关村发展集团  2022年校园招聘及博士后招聘公告,2021-12-23,467,31
电子科技大学先进毫米波技术集成攻关研究院招聘青年教师、博士后,2021-12-23,461,10
天津大学“生物信息测量与生物制造实验室”诚聘英才,2021-12-23,377,5
重庆能源职业学院招聘简章,2021-12-23,427,50
2021下半年浙江农林大学专任教师岗位招聘公告,2021-12-23,372,160
广州航海学院 广州交通大学（筹）2021年招聘教授公告,2021-12-23,376,200
苏州｜常熟理工学院2021-2022年面向海内外诚聘英才,2021-12-23,370,200
北京航空航天大学虚拟现实技术与系统国家重点实验室2021年专职工程师招聘公告,2021-12-23,385,2
商丘工学院2022年教师招聘,2021-12-23,365,100
中国船舶第八研究院（扬州院区·原七二三所）诚聘人才公告,2021-12-23,365,90
不负韶华 共筑梦想-枣庄学院2021年人才招聘启事,2021-12-23,356,60
深圳市影子投资管理有限公司校园诚聘,2021-12-23,354,2
瀛通通讯股份有限公司2022届毕业生,2021-12-22,372,5
中企通信2022校园招聘,2021-12-22,395,10
吉首大学张家界学院2022年专任教师招聘公告,2021-12-22,358,32
2022年春季全国博士、博士后高级人才专场巡回签约洽谈会——中国科学院大学站,2021-12-22,356,500
兵器装备集团财务有限责任公司 2022届校园招聘,2021-12-22,383,1
安徽理工大学2022年博士招聘,2021-12-22,352,135
中山大学数学学院（珠海）高层次人才招聘,2021-12-22,342,20
正大集团2021-2022年度中央采购部校园招聘,2021-12-22,349,10
北京朗姿韩亚资产管理有限公司博士后科研工作站2022年度招聘简章,2021-12-22,336,3
甘肃省敦煌种业集团股份有限公司博士后科研工作站招收简章,2021-12-22,283,6
华夏人寿保险股份有限公司2022届校园招聘启事,2021-12-22,354,50
小米集团2022全球校园招聘-汽车专项,2021-12-22,370,300
中国联通四川省分公司2021年（2022届） 秋季校园招聘公告（补录）,2021-12-22,354,300
小黑盒2022年校招,2021-12-22,347,1
紫光数码集团2022年度高校毕业生招聘,2021-12-22,350,3
福州大学博士后科研流动站2022年人才招聘计划,2021-12-22,330,50
湖南省融资担保集团2022校园招聘,2021-12-22,327,7
新乡医学院2021年诚聘海内外高层次人才,2021-12-22,311,100
宁夏大学煤炭高效利用与绿色化工国家重点实验室 学术带头人/青年研究骨干/博士后招聘,2021-12-22,313,60
东北电力大学2021-2022年诚聘海内外人才,2021-12-22,323,68
网易有道2022届秋季校园招聘火热进行ing,2021-12-22,336,300
深圳市巨博华投资有限公司，期待与聪明勤奋、不甘平庸、正直守信的你，携手打造中国最优秀的量化交易团队,2021-12-22,315,5
中信证券北京分公司2022年校园招聘,2021-12-21,392,20
上海交通大学微纳工程科学重点实验室2021-2022年招聘简章,2021-12-21,348,12
中山大学微电子科学与技术学院人才招聘,2021-12-21,348,78
2022年徐工机械建设机械分公司校园招聘,2021-12-21,345,2
北京司拓民航科技有限责任公司 2022年校园招聘简章,2021-12-21,362,6
【金融科技·创变未来】中金公司信息技术部2022届应届生专项招聘,2021-12-21,415,30
首钢集团财务有限公司招聘,2021-12-21,370,3
2022中国电建集团青海省电力设计院有限公司电气师校园招聘,2021-12-21,319,18
北京市地铁运营有限公司技术创新研究院招聘,2021-12-20,375,2
【空中宣讲】多益网络2022校园招聘-补录专场,2021-12-20,341,500
闽南科技学院2021-2022学年招聘启事,2021-12-20,337,62
2022年苏州幼儿师范高等专科学校公开招聘教师及专职辅导员,2021-12-20,330,7
2022年应届生招聘,2021-12-20,335,6
【佳能医疗】研发岗：AI算法/C++开发,2021-12-20,337,3
全球招聘！科学岛诚邀海内外人才加盟！,2021-12-20,328,80
远东控股集团2022校园招聘,2021-12-20,323,5
2021-2022年中车唐山机车车辆有限公司招聘启事,2021-12-20,314,8
行业第一，宇通集团2022年应届毕业生管培生招聘简章,2021-12-20,325,30
中国发展研究基金会2022年招聘启事,2021-12-20,333,4
2022中公教育校园招聘,2021-12-20,319,20
南京理工大学基础前沿交叉中心教师招聘,2021-12-20,322,10
慧策（北京掌上先机网络科技有限公司）2022校园招聘,2021-12-20,324,20
广西师范大学2021年人才招聘公告,2021-12-20,328,98
桂林理工大学2021年诚聘海内外人才,2021-12-20,325,20
中企伍佰信息技术研究院招聘院长助理,2021-12-19,472,10
深圳能源集团股份有限公司  2022届校园秋季招聘启事,2021-12-19,447,121
耀未来，乘青春——耀乘健康2022校园招聘,2021-12-19,296,5
徐州工程机械集团有限公司2022年校园招聘简章,2021-12-19,328,100
上海天数智芯半导体有限公司2022校园招聘文稿,2021-12-19,334,10
ASM先进科技2022校园招聘补录,2021-12-18,345,30
陕西科技大学2022年博士后研究人员招收公告,2021-12-18,320,100
石家庄医学高等专科学校2022年教师招聘,2021-12-18,318,70
广东电网有限责任公司2022年博士后人员招聘启事,2021-12-18,325,4
中国电子科技集团公司第十一研究所招聘,2021-12-18,380,100
诺唯赞2022全球校园招聘—博士人才招聘计划正式启动,2021-12-18,322,90
北京大兴国际机场航空食品有限公司 2022年校园招聘,2021-12-18,335,6
上海中广核工程科技有限公司2022校园招聘,2021-12-18,343,10
三环集团2022届秋季校园招聘,2021-12-18,338,500
年少粤有为” 数字广东2022秋季校园招聘火热进行中,2021-12-18,331,170
客户经理,2021-12-18,326,40
南宁职业技术学院2021年第二批公开招聘工作人员公告,2021-12-18,316,44
北京宏天信业信息技术股份有限公司 -- 应届毕业生招聘,2021-12-18,329,20
广州虹科电子2022秋季校园招聘（全国）,2021-12-18,309,30
大连人才服务中心 “学子来连、业成滨城”2021-2022 空中双选会邀请函,2021-12-18,313,1000
包头市文化旅游广电局2021年直属单位人才引进公告,2021-12-18,271,21
海纳天下才，智汇石家庄——第一届石家庄“海石杯”高层次人才创新创业大赛,2021-12-18,311,100
中信证券北京分公司培训生,2021-12-18,306,50
九江学院2022年诚聘海内外人才,2021-12-18,305,151
谷斗科技招聘简章,2021-12-18,314,100
2021-2022零点有数校园招聘火热开启,2021-12-18,312,10
中国石化大连石油化工研究院全球招聘人才公告,2021-12-16,422,50
山东电力设备有限公司2022届毕业生招聘,2021-12-16,436,4
重庆邮电大学高层次人才招聘,2021-12-16,432,236
商业航天明星企业【零壹空间】校招答疑会来啦！！,2021-12-15,456,20
物美科技集团简介,2021-12-15,478,100
江西应用技术职业学院2021年下半年公开招聘高层次人才,2021-12-15,416,62
曲靖师范学院2021年公开招聘事业编制高层次人才,2021-12-15,415,50
理想汽车2022届校园招聘秋招补录进行中,2021-12-15,446,1600
中国农业银行研发中心2022年秋季校园招聘,2021-12-15,527,650
上海人工智能实验室招聘公告,2021-12-15,380,3
超星集团秋季校园招聘,2021-12-15,356,5
高和资本2022届新生力校园招聘,2021-12-15,356,2
慧策（北京掌上先机网络科技有限公司）2022秋季校园招聘,2021-12-15,321,20
给你舞台，让你精彩-同达信恒面向理工科招聘,2021-12-15,331,15
中国石化上海石油化工研究院2021-2022年度人才招聘,2021-12-15,345,50
放手而为，成就精彩，英特尔中国2022校园招聘研发岗补招进行中！,2021-12-15,364,100
2022年中国安全防伪证件研制中心,2021-12-15,357,1
北京龙双利达知识产权代理有限公司招聘简章      （工作地点：北京、西安、南京）,2021-12-15,310,60
百年西建大 引才进行时-西安建筑科技大学2021年教师（师资博士后）招聘公告,2021-12-14,355,100
2022年海军潜艇学院人才引进重磅来袭,2021-12-14,363,71
初中各学科教师,2021-12-14,324,30
苏州恩巨网络有限公司,2021-12-14,323,2
高中各学科骨干教师,2021-12-14,346,30
炬光科技2022校园招聘简章,2021-12-14,329,15
你与我的距离   只有一封简历的厚度,2021-12-14,319,12
攀枝花学院2021年第五批直接考核招聘高层次人才公告,2021-12-14,313,100
燕山大学2021-2022年诚聘海内外优秀人才,2021-12-14,325,260
新加坡国立大学重庆研究院招聘及博士生招生简章,2021-12-14,314,10
广西电力职业技术学院2021年博士人才专项招聘公告,2021-12-14,308,14
中国工程物理研究院  研究生院诚聘英才,2021-12-14,292,3
正大集团2021-2022年度中央采购部校园招聘,2021-12-14,315,10
中信证券北京分公司管培生 18个月培训期,2021-12-14,326,200
南方科技大学计算机科学与工程系2022年实验教学人员招聘启事,2021-12-14,311,2
卧龙采埃孚汽车电机有限公司 2022届招聘启事,2021-12-14,330,50
数码视讯科技集团2022届校园招聘,2021-12-14,338,50
网易有道2022届秋季校园招聘,2021-12-14,362,300
江苏科技大学2021年诚聘海内外优秀人才,2021-12-13,385,1
四川轻化工大学2022年人才引进政策,2021-12-13,299,1
北京宏达一甲教育科技有限公司2022招聘季,2021-12-13,293,20
科讯嘉联 2022 届校园招聘简章,2021-12-13,316,10
小米集团2022全球校园招聘-热招岗位,2021-12-13,370,500
自如集团2022管培生招聘,2021-12-13,299,100
引才新政 待遇优厚-广西科技大学2021-2022年面向海内外诚聘优秀人才,2021-12-13,298,200
兰州化物所2022年人才招聘启事,2021-12-13,283,2
2022中国电建集团青海省电力设计院有限公司校园招聘,2021-12-13,329,3
 山东工程职业技术大学2021年商河校区招聘,2021-12-13,284,40
“梦想靠岸”招商银行佛山分行2022校园招聘启事（冬季场）,2021-12-13,273,200
加入航天，为国防做贡献,2021-12-13,315,5
首钢集团有限公司技术研究院,2021-12-13,282,50
2021-2022零点有数校园招聘火热开启,2021-12-13,266,10
长三角核心区-嘉兴学院2021-2022年度人才引进招聘公告,2021-12-10,438,68
广东医科大学海洋医药研究院/广东湛江海洋医药研究院肠道菌群方向诚聘博士后研究人员,2021-12-10,415,10
揽英才 金陵科技学院招才引智诚邀您的加盟,2021-12-10,364,100
2022年国防科技大学电子科学学院面向海内外诚聘博士人才,2021-12-10,377,60
揽英才! 金陵科技学院招才引智诚邀您的加盟,2021-12-10,344,66
厦门松霖2022届校园招聘简章,2021-12-10,344,30
揽英才 金陵科技学院招才引智，诚邀您的加盟,2021-12-10,341,50
管理培训生岗位（大型国有企业、含进京指标、提供宿舍、有食堂、六险二金）,2021-12-10,389,5
北京司拓民航科技有限责任公司2022年校园招聘简章,2021-12-10,349,6
商丘工学院2021年教师招聘,2021-12-10,326,500
小屯派科技2022年校园招聘,2021-12-10,342,2
【甘肃国企】金川集团面向北京邮电大学秋季招聘信息,2021-12-10,353,10
广东省农村信用社联合社  2022届秋季校园招聘补录公告,2021-12-10,340,175
2022校招中信证券北京分公司管培生,2021-12-10,339,200
南京理工大学智能制造学院教师招聘,2021-12-10,334,10
网易有道2022届秋季校园招聘火热进行ing,2021-12-10,309,300
方田教育2022年校园招聘,2021-12-09,388,10
【佳能医疗】研发岗：AI算法/C++开发,2021-12-09,437,2
慧原生，聚清春 ——慧清科技2022校园招聘简章,2021-12-09,423,5
TOP TOY TMC 2022届校园招聘,2021-12-09,386,55
宁波工程学院向海内外诚聘特聘教授，学科带头人,2021-12-09,364,20
海南工商职业学院2021年本硕及以上人才招聘  ,2021-12-09,355,50
中金创新（深圳）资产管理有限公司2021年招聘,2021-12-09,376,2
最高人民法院直属单位2022年度公开招聘工作人员公告,2021-12-09,429,14
代宽带资本招聘投资经理,2021-12-09,111,2
慧策（北京掌上先机网络科技有限公司）2022秋季校园招聘,2021-12-09,224,10
2021年珠海市“云招聘”高校毕业生洽谈会,2021-12-09,363,50
前端开发工程师,2021-12-09,356,6
中讯邮电咨询设计院有限公司郑州分公司,2021-12-09,368,5
【校招】中信证券北京分公司管培生,2021-12-09,355,20
校招管培生,2021-12-09,360,20
2022年校园招聘,2021-12-09,387,5
淮北师范大学2021年度人才招聘,2021-12-09,336,158
2021年冬季全国博士、博士后、高级人才巡回签约洽谈会——北京站,2021-12-09,340,500
北京师范大学认知神经科学与学习国家重点实验室2021年聘用制人员招聘启事,2021-12-09,294,10
湖南高尔夫旅游职业学院2021年招聘,2021-12-09,247,8
北京司拓民航科技有限责任公司 2022年校园招聘简章,2021-12-09,281,6
中国人民公安大学2022年度统一公开招录人民警察预公告,2021-12-08,557,1
董事会秘书,2021-12-08,465,5
厦门立林科技有限公司2022年校园招聘,2021-12-08,446,25
海军航空大学2022年面向社会公开招考文职人员,2021-12-08,450,100
重磅来袭！2022年海军潜艇学院人才引进公告,2021-12-08,446,90
山东英科医疗2022届校园招聘简章,2021-12-08,428,50
上商控股集团有限公司校园招聘,2021-12-08,432,10
【游戏奋斗者】多益网络2022校园招聘补录！,2021-12-08,431,500
四川省环境政策研究与规划院公开招聘非在编人员公告,2021-12-08,422,1
广东湛江海洋医药研究院2021年招聘博士后研究人员启事,2021-12-08,411,1
华展鑫荣公司招聘学生就业,2021-12-08,420,15
中联重科（工业互联网板块）2022届校园招聘简章,2021-12-07,1056,300
龙盈智达（北京）科技有限公司,2021-12-07,776,1
中信证券北京分公司管培生-校招,2021-12-07,755,50
中科星图—星图气象2022-2023年校园招聘计划,2021-12-07,373,5
软件研发工程师（高性能计算）,2021-12-07,692,10
让世界看到你的影响力——航天宏图·校园招聘,2021-12-07,715,10
唐山师范学院2021公开选聘博士研究生,2021-12-06,653,15
正大集团2021-2022年度中央采购部校园招聘,2021-12-06,453,10
香港中文大学（深圳）诚聘海内外优秀人才,2021-12-06,462,1
51WORLD-2022届校园招聘简章,2021-12-06,448,1
物产中大国际贸易集团2022届校园招聘简章,2021-12-06,447,1
年轻 未来可期 ——浙江省农信联社2022年校园招聘公告,2021-12-06,456,5
权威发布！火箭军工程大学2022年面向社会公开招考文职人员岗位计划,2021-12-06,464,120
人才招聘,2021-12-06,451,10
专利工程师/专利代理师,2021-12-06,424,20
沈阳兴华航空电器有限责任公司,2021-12-06,427,30
【游戏奋斗者】多益网络2022校园招聘补录,2021-12-06,436,300
北京市硕博高层次人才洽谈会---工业和信息化部人才交流中心,2021-12-06,506,200
由你定E新世界”，面向全球2022届校园人才   2022卡奥斯未来合伙人全面启动！,2021-12-06,433,33
2021年-2022年度远洋数据校园招聘,2021-12-06,425,2
软件研发工程师（系统）,2021-12-06,417,10
兴华会计师事务所2022秋季校园招聘,2021-12-06,417,200
诚揽天下英才 聚力强军伟业-海军航空大学2022年面向社会公开招考文职人员,2021-12-06,429,89
2022中公教育业务岗位招聘,2021-12-06,421,30
校招,2021-12-06,424,6
在浙里 职面未来-浙江建设职业技术学院2021年人才招聘公告,2021-12-06,443,18
权威发布！火箭军工程大学2022年面向社会公开招考文职人员,2021-12-06,424,78
2022年海军潜艇学院人才引进重磅来袭,2021-12-06,429,89
“权威发布”国防科技大学2022年公开招考文职人员计划,2021-12-06,443,165
权威发布！国防科技大学2022年文职人员招考公告,2021-12-06,437,170
湖北文理学院人才招聘,2021-12-06,422,50
厦门大学嘉庚学院2021-2022学年人才招聘启事,2021-12-03,458,10
创新之路、智慧领航 卡斯柯信号有限公司2022年度校园招聘,2021-12-03,444,8
FunPlus2022校园招聘技术类岗位急招,2021-12-03,463,10
日立电梯2022“未来之梯，与你同立”校园招聘,2021-12-03,448,6
埃特曼（北京）半导体技术有限公司招聘,2021-12-03,449,1
12月10日 | 国内高校联合举办（第十八届）博士人才云端招聘会,2021-12-03,455,300
北京晨晶电子有限公司 【高新技术国企】北京晨晶电子2022校招盛大启动,2021-12-03,431,240
【全职】【算法工程师】,2021-12-03,421,1
招聘新媒体编辑/美编设计/授课讲师,2021-12-03,415,2
建攀登计划 创世界一流-首都师范大学2021-2022年博士后科研  人员招收公告,2021-12-03,418,88
浙江建设职业技术学院2021年人才引进计划,2021-12-03,431,14
商丘工学院2021-2022学年教师招聘,2021-12-03,414,100
深圳综合粒子设施研究院校园招聘公告,2021-12-02,430,1
苏州系统医学研究所2021-2022年招聘,2021-12-02,424,1
炬光科技2022校园招聘简章,2021-12-02,416,15
中国科学院长春应用化学研究所2021年度招聘启事,2021-12-02,402,1
江苏科技大学2021年诚聘海内外优秀人才,2021-12-02,414,1
北京爱帮智汇科技有限公司2022年度校园招聘公告,2021-12-02,429,4
网龙网络公司2022届秋季校园招聘简章,2021-12-02,412,200
易航智能—供应链管理专员,2021-12-02,420,1
网易有道秋招补招-火热进行ing（免笔试！）,2021-12-02,459,100
网罗英才 智创未来 罗克韦尔自动化大连软件研发中心2022秋季校园招聘简章,2021-12-02,411,5
诚邀海内外优秀青年人才参加河南大学第五届国际青年学者（博士后）论坛,2021-12-02,408,50
助理研究员,2021-12-02,425,6
2021年冬季全国博士、博士后、高级人才巡回 签约洽谈会——北京站,2021-12-02,410,300
广州虹科电子科技2022秋季校园招聘（全国）,2021-12-02,413,40
科技兴邦 强军报国-国防科技大学第六十三研究所2021-2022年文职、博士后招收,2021-12-01,420,50
巢湖学院博士人才引进公告（待遇优渥） （安徽·合肥）,2021-12-01,381,200
中国移动总部网络事业部“金种子计划” 专项校园招聘,2021-12-01,469,10
中国邮政集团有限公司山西省分公司 2022年度校园招聘公告,2021-12-01,392,101
西安电子科技大学期刊中心2021年外聘人员一般岗位招聘公告,2021-12-01,355,3
浙江大学化学系、浙大杭州国际科创中心郭庆辉课题组2021年诚招博士后,2021-12-01,369,3
2022年江苏省泰州市选聘党政青年人才简章,2021-12-01,397,20
中国联合工程有限公司2022届校园招聘,2021-12-01,386,253
景贤礼士 WE梦相聚 ——北京市石景山区“走进高校引才计划” 宣讲招聘公告,2021-12-01,390,1000
赓续百年初心 担当育人使命-大庆师范学院2021年下半年公开招聘教师公告,2021-12-01,367,66
华南农业大学珠江学院2021年下半年教职工招聘,2021-12-01,369,28
2022届阿丘科技校园招聘,2021-12-01,387,8
开源证券【北交所业务专场】2022届校园招聘,2021-12-01,393,100
中信证券校招管培生-北京分公司,2021-12-01,392,200
北京伏尔特技术有限公司2022校园招聘,2021-12-01,388,8
合肥安晶龙电子股份有限公司2022届校园招聘,2021-12-01,367,10
"吴奇院士团队招聘博士后公告（分子生物学, 高分子，化学工程和食品专业）",2021-12-01,362,1
朝晖股份 2022 校园招聘简章,2021-12-01,366,1
北京爱万提斯科技有限公司2022年校园招聘,2021-12-01,369,1
厦门雅迅网络股份有限公司2022届校园招聘简章,2021-12-01,365,1
中国铁路物资集团有限公司  2022校园招聘简章,2021-12-01,411,1
 中联重科2022届校园招聘简章,2021-12-01,370,1
 中联重科（工业互联网板块）2022届校园招聘简章,2021-12-01,384,1
河北省农村信用社 2021年员工招聘简章,2021-12-01,350,30
2022慧策（北京掌上先机网络科技有限公司）校园招聘,2021-12-01,363,20
和芯星通科技（北京）有限公司人才引进,2021-12-01,370,5
"吴奇院士团队招聘博士后公告（分子生物学, 高分子，化学工程和食品专业）",2021-12-01,364,1
通讯科技公司诚招项目管理/商务助理,2021-12-01,368,6
全国中小企业股份转让系统有限责任公司 2021年下半年招聘公告,2021-12-01,379,1
空军工程人才引进公告,2021-12-01,417,200
本邦科技 22届应届毕业生校招项目,2021-12-01,374,4
新疆理工学院2021年秋季面向社会公开招聘教师、辅导员,2021-11-30,347,180
远洋集团2022届校园招聘,2021-11-30,363,5
荣聚新势力 启航新征程 ——荣程集团22届荣耀青年招聘简章,2021-11-30,351,100
2022届赛尔网络有限公司校园招聘简章,2021-11-30,373,162
潍柴2022年校园招聘扩招简章,2021-11-30,393,1
齐鲁工业大学（山东省科学院）海洋技术科学学院招聘信息,2021-11-30,348,1
中科南京智能技术研究院招聘简章,2021-11-30,376,1
三环集团2022届秋季校园招聘,2021-11-30,378,1
ASM先进科技2022校园招聘补录,2021-11-30,428,20
教师（博士）,2021-11-29,357,10
教师（硕士）,2021-11-29,362,15
鄂托克旗2021年引进高层次人才的公告,2021-11-26,377,19
衡水学院2021年招聘公告,2021-11-26,381,50
石家庄学院选聘博士,2021-11-26,365,30
安徽师范大学2021年度人才招聘,2021-11-26,369,115
常州信息职业技术学院2021年公开招聘高层次人员,2021-11-26,354,115
东华大学民用航空复合材料协同创新中心2021年招聘启事,2021-11-26,347,14
宁波国君源泓投资管理有限公司是在中国基金业协会备案的私募股权基金管理人，招聘网络信息安全投资经理和研究员,2021-11-26,365,3
中国电子科技集团公司第十一研究所,2021-11-26,474,50
小鹏汽车2022校园招聘“探索者计划”,2021-11-26,434,1000
广芯电子技术(上海)股份有限公司校招信息,2021-11-26,372,20
第三届“科技绵州 人才飞阳”四川省绵阳市招才引智 “云揽才”系列活动正式开启,2021-11-26,386,1000
汇聚天下英才 共创钱江时代 杭州市钱江新城投资集团2022届校园招聘,2021-11-26,370,80
宁波国君源泓投资管理有限公司是在中国基金业协会备案的私募股权基金管理人，网络信息安全行业研究员和投资经理招聘,2021-11-25,363,3
江西应用科技学院人才招聘,2021-11-24,380,216
首都师范大学2021年博士后科研人员招收公告,2021-11-23,327,1
面向理工科招聘-北京同达信恒知识产权代理有限公司,2021-11-23,331,1
2022中公教育校园招聘,2021-11-23,353,1
鼎道智联2022届校园招聘简章,2021-11-23,365,1
第一创业证券股份有限公司,2021-11-23,426,1
中国地震局地球物理研究所高层次人才引进公告,2021-11-22,381,1
北京巴别时代科技有限公司-巴别时代2022校招,2021-11-22,366,1
【哈尔滨站&长春站】高校人才网2021年秋冬季博士人才视频双选会邀请函,2021-11-22,374,1
锐方（上海）私募基金管理有限公司招聘,2021-11-22,355,1
哈药集团股份有限公司,2021-11-22,366,1
商业航天明星企业【零壹空间】空中宣讲来啦！！,2021-11-22,355,1
天津雀巢有限公司,2021-11-22,368,1
